?,?,?????????????????,,,,
Year,Month,News-based Economic Policy Uncertainty Index,,,,
2014,11,108.2531191,,,,
2014,12,105.891524,,,,
2015,1,91.12862739,,,,
2015,2,74.65304622,,,,
2015,3,76.94859982,,,,
2015,4,80.46505733,,,,
2015,5,89.13575109,,,,
2015,6,82.8403052,,,,
2015,7,99.51395774,,,,
2015,8,111.6688196,,,,
2015,9,122.5245276,,,,
2015,10,112.631708,,,,
2015,11,93.0210235,,,,
2015,12,96.25789234,,,,
2016,1,134.5724073,,,,
2016,2,169.82416,,,,
2016,3,140.2283508,,,,
2016,4,132.8039709,,,,
2016,5,159.2163528,,,,
2016,6,204.4910435,,,,
2016,7,208.1241808,,,,
2016,8,111.4438877,,,,
2016,9,114.7685962,,,,
2016,10,90.94480495,,,,
2016,11,138.770211,,,,
2016,12,140.8181215,,,,
2017,1,142.8968786,,,,
2017,2,125.5117811,,,,
2017,3,123.5819587,,,,
2017,4,102.5566604,,,,
2017,5,101.8169682,,,,
2017,6,86.29263009,,,,
2017,7,77.29153767,,,,
2017,8,76.51126316,,,,
2017,9,89.0983591,,,,
2017,10,93.80262619,,,,
2017,11,85.63097656,,,,
2017,12,73.75029056,,,,
2018,1,65.86359873,,,,
2018,2,92.74167876,,,,
2018,3,82.55243066,,,,
2018,4,87.16413928,,,,
2018,5,84.6594837,,,,
2018,6,89.85711757,,,,
2018,7,88.58069849,,,,
2018,8,114.6718418,,,,
2018,9,108.7118029,,,,
2018,10,102.5678337,,,,
2018,11,110.7015088,,,,
2018,12,138.9911487,,,,
2019,1,128.883901,,,,
2019,2,119.5570663,,,,
2019,3,122.897051,,,,
2019,4,115.9402211,,,,
2019,5,130.6963453,,,,
2019,6,144.5123067,,,,
2019,7,159.6372696,,,,
2019,8,144.4122496,,,,
2019,9,119.0043707,,,,
2019,10,107.8699523,,,,
2019,11,117.3195624,,,,
2019,12,113.3243461,,,,
2020,1,106.7938071,,,,
2020,2,114.3709655,,,,
2020,3,202.7152235,,,,
2020,4,177.3664954,,,,
2020,5,211.31378,,,,
2020,6,158.802042,,,,
2020,7,139.3151288,,,,
2020,8,125.8854897,,,,
2020,9,120.9706277,,,,
2020,10,95.0384482,,,,
2020,11,127.5133754,,,,
2020,12,105.0035452,,,,
2021,1,113.9984642,,,,
2021,2,106.3191468,,,,
2021,3,84.17691012,,,,
2021,4,90.5675334,,,,
2021,5,75.52522857,,,,
2021,6,83.27575492,,,,
2021,7,88.59042645,,,,
2021,8,77.02930517,,,,
2021,9,110.3684246,,,,
2021,10,122.4313317,,,,
2021,11,93.84494884,,,,
2021,12,91.23849876,,,,
2022,1,101.4240551,,,,
2022,2,90.65937494,,,,
2022,3,126.4856724,,,,
2022,4,109.8083642,,,,
2022,5,106.9352125,,,,
2022,6,134.2365184,,,,
2022,7,117.4983289,,,,
2022,8,108.6730765,,,,
2022,9,99.00878027,,,,
2022,10,112.931895,,,,
2022,11,105.2061217,,,,
2022,12,109.2945477,,,,
2023,1,97.73930446,,,,
2023,2,115.6156325,,,,
2023,3,123.6484768,,,,
2023,4,143.237523,,,,
2023,5,149.5388536,,,,
2023,6,93.07974083,,,,
2023,7,100.1172802,,,,
2023,8,104.021722,,,,
2023,9,103.2266884,,,,
2023,10,101.8349285,,,,
2023,11,100.7639713,,,,
2023,12,99.35128355,,,,
2024,1,85.51828689,,,,
2024,2,94.87275584,,,,
2024,3,103.1056093,,,,
2024,4,82.08032716,,,,
2024,5,89.22561104,,,,
2024,6,85.15898561,,,,
2024,7,91.62811035,,,,
2024,8,109.0175457,,,,
2024,9,112.983901,,,,
2024,10,103.5882315,,,,
