,,"????????????12????????? [Percentage of EPU articles that discuss specific policy matters, 12-month centered moving average]",,,,,
?,?,????,????,????,????,,
Year,Month,Fiscal Policy,Monetary Policy,Trade Policy,Exchange Rate Policy,,
1999,4,64.52517098,21.90913867,5.099687784,2.796267005,,
1999,5,64.51305307,21.84654197,5.616080786,2.938841423,,
1999,6,63.90342062,21.73453295,6.22853293,3.126541118,,
1999,7,63.37258123,21.64023017,6.779407147,3.223510337,,
1999,8,63.60432297,21.18185008,7.026936004,3.176239927,,
1999,9,64.05838777,20.03151128,6.960043874,3.18115121,,
1999,10,64.10235662,19.21014415,6.818491991,3.344708322,,
1999,11,64.08394719,18.9636902,6.637784398,3.49076038,,
1999,12,64.1006825,18.90980984,6.466854189,3.432916672,,
2000,1,64.18038769,19.15560123,6.368051811,3.226850069,,
2000,2,64.30933172,20.39739888,6.445981675,2.952951502,,
2000,3,64.21403622,20.81635274,6.382847393,2.494847292,,
2000,4,63.93785682,20.16217478,6.187753241,2.332976679,,
2000,5,63.72567636,19.98693685,5.954055076,2.488889212,,
2000,6,63.63869458,20.40249469,5.545417153,2.420107967,,
2000,7,63.66950126,21.25747832,5.16040218,2.258656464,,
2000,8,63.39165719,22.43103971,4.96210486,2.262068333,,
2000,9,63.22438855,24.45378539,5.056363442,2.360781268,,
2000,10,63.61454918,25.79576864,5.245225776,2.264922464,,
2000,11,63.90044502,26.15355457,5.348459946,2.134511603,,
2000,12,63.77225592,26.16501365,5.362779429,2.189226575,,
2001,1,63.9157242,25.57887403,5.296476806,2.28150333,,
2001,2,64.1717156,24.59052333,5.330711934,2.340919805,,
2001,3,63.98622529,24.63448888,5.519489747,2.26621454,,
2001,4,64.07014571,25.91321676,5.759559942,2.122111123,,
2001,5,64.68590111,26.65890911,6.003703468,1.985255979,,
2001,6,65.15502866,26.79567358,6.21771212,1.927011959,,
2001,7,65.29458612,26.69733863,6.279010371,1.958537562,,
2001,8,65.34760094,26.74779866,6.402689465,1.883594783,,
2001,9,65.2476357,26.19642388,6.65738837,1.775722096,,
2001,10,64.52976302,25.35919089,6.72416233,1.70265841,,
2001,11,63.96604719,25.02678999,6.633434907,1.809416796,,
2001,12,64.08994052,25.15721123,6.794424932,2.155234405,,
2002,1,63.93883686,25.7310728,6.918946523,2.519372605,,
2002,2,63.7164549,25.612029,6.733704481,2.587169292,,
2002,3,63.69598597,25.3223947,6.639140776,2.246403695,,
2002,4,64.236444,25.34340406,6.463089728,1.823181695,,
2002,5,64.75625574,25.39095061,6.043874472,1.696764431,,
2002,6,64.86954947,25.08121358,5.67334998,1.726188005,,
2002,7,65.0507275,24.92905388,5.471449942,1.781028881,,
2002,8,65.02433129,24.98163384,5.283560804,2.069968371,,
2002,9,64.63200687,25.40120321,5.021542484,2.392230808,,
2002,10,64.62416025,26.42743538,4.896978383,2.522199869,,
2002,11,64.95721652,27.55537812,4.810373388,2.469485502,,
2002,12,64.80403811,28.11384975,4.634944726,2.194009999,,
2003,1,64.72117906,28.12563522,4.628122655,1.918080187,,
2003,2,64.81485811,28.52717374,4.666335135,1.867567746,,
2003,3,65.40779927,28.24806874,4.906833304,1.988993451,,
2003,4,65.53655998,27.33709397,5.3294644,2.320400077,,
2003,5,65.15583559,26.74615182,5.75528416,2.601873269,,
2003,6,65.11425691,26.47447433,6.176372663,2.806610501,,
2003,7,64.92147077,26.1326469,6.538435771,3.106256203,,
2003,8,64.74480778,24.81691594,6.691199042,3.299860799,,
2003,9,64.92142935,22.94269492,6.858350233,3.495931044,,
2003,10,65.29812701,22.21778045,6.998512277,3.880717996,,
2003,11,64.74911928,21.62320318,6.933539991,4.124874918,,
2003,12,64.10430308,20.90169969,6.798435303,4.054163897,,
2004,1,64.24679714,20.56966843,6.58304282,3.916809203,,
2004,2,64.35186531,20.03610093,6.574994568,3.839114893,,
2004,3,64.12540361,19.80979521,6.656127794,3.789641921,,
2004,4,63.49453324,20.08106912,6.660848543,3.609062971,,
2004,5,63.04338019,20.51973746,6.770033222,3.505980482,,
2004,6,62.86414623,20.89695547,6.661736519,3.44716101,,
2004,7,62.82859287,21.1046695,6.384667189,3.20423467,,
2004,8,63.19206384,21.4500402,6.346538411,2.75750186,,
2004,9,63.38409514,21.78979561,6.312877563,2.24974495,,
2004,10,62.95271267,21.5240544,6.340370778,1.750901523,,
2004,11,62.68154435,21.72837003,6.462123492,1.426739843,,
2004,12,62.59088193,22.13206861,6.532415038,1.398532263,,
2005,1,61.72686097,22.26782925,6.822358739,1.552918979,,
2005,2,60.89420889,22.44664186,7.198356353,1.684129454,,
2005,3,60.68883909,22.35177733,7.009869879,1.669189218,,
2005,4,60.35197058,22.07370673,6.662156507,1.543174322,,
2005,5,59.74368348,21.93817258,6.437985907,1.307213675,,
2005,6,59.35964013,22.24706393,6.365952598,1.047599077,,
2005,7,58.80909013,22.31445461,6.293620161,0.869191624,,
2005,8,57.5878479,22.1425298,6.048826178,0.838795742,,
2005,9,56.69238965,23.27684542,5.769210898,0.818389672,,
2005,10,56.62554323,24.29515106,5.657191259,0.834268572,,
2005,11,57.09750206,24.00526423,5.65093419,0.921101128,,
2005,12,57.0993007,24.51649433,5.474606165,0.952695027,,
2006,1,56.91065814,25.57496746,5.30930332,0.763507865,,
2006,2,56.78940241,26.07454859,5.109938847,0.572090439,,
2006,3,56.32724106,26.0737756,5.282379969,0.513714958,,
2006,4,56.25679801,26.0883412,5.577834127,0.486416708,,
2006,5,56.23557906,26.06371363,5.540466014,0.496839788,,
2006,6,56.10979637,25.54567218,5.521061829,0.53726858,,
2006,7,55.91255423,25.43140765,5.770476641,0.588622401,,
2006,8,55.58545456,26.00756674,6.057852673,0.582843776,,
2006,9,55.41978519,25.54874089,6.196824626,0.599362787,,
2006,10,55.01115345,24.96181701,6.298807583,0.641981825,,
2006,11,54.249179,24.66862497,6.589577506,0.629361784,,
2006,12,54.18440668,23.50141447,7.089283564,0.581511255,,
2007,1,54.62990371,22.04257828,7.14514066,0.585039936,,
2007,2,54.27007866,22.09879893,6.933731514,0.651698544,,
2007,3,53.30210361,23.623457,6.795945089,0.666273818,,
2007,4,52.44159192,24.68178846,6.543507639,0.638438684,,
2007,5,51.61392451,25.43483177,6.21438114,0.628498947,,
2007,6,50.46473046,26.14204676,5.880643741,0.596095933,,
